;AF00000A;PC AN;;
;AF00PG0S;PC PRF UTR/NEU PLU IND/DEF GEN;;
;AF00PN0S;PC PRF UTR/NEU PLU IND/DEF NOM;;
;AF00SGDS;PC PRF UTR/NEU SIN DEF GEN;;
;AF00SNDS;PC PRF UTR/NEU SIN DEF NOM;;
;AF0MSGDS;PC PRF MAS SIN DEF GEN;;
;AF0MSNDS;PC PRF MAS SIN DEF NOM;;
;AF0NSNIS;PC PRF NEU SIN IND NOM;;
;AF0USGIS;PC PRF UTR SIN IND GEN;;
;AF0USNIS;PC PRF UTR SIN IND NOM;;
;AP000G0S;PC PRS UTR/NEU SIN/PLU IND/DEF GEN;;
;AP000N0S;PC PRS UTR/NEU SIN/PLU IND/DEF NOM;;
;AQ00000A;JJ AN;;
;AQC0000C;JJ KOM UTR/NEU SIN/PLU IND/DEF SMS;;
;AQC00G0S;JJ KOM UTR/NEU SIN/PLU IND/DEF GEN;;
;AQC00N0S;JJ KOM UTR/NEU SIN/PLU IND/DEF NOM;;
;AQP0000C;JJ POS UTR/NEU - - SMS;;
;AQP00N0S;JJ POS UTR/NEU SIN/PLU IND/DEF NOM;;
;AQP00NIS;JJ POS UTR/NEU SIN/PLU IND NOM;;
;AQP0PG0S;JJ POS UTR/NEU PLU IND/DEF GEN;;
;AQP0PN0S;JJ POS UTR/NEU PLU IND/DEF NOM;;
;AQP0PNIS;JJ POS UTR/NEU PLU IND NOM;;
;AQP0SGDS;JJ POS UTR/NEU SIN DEF GEN;;
;AQP0SNDS;JJ POS UTR/NEU SIN DEF NOM;;
;AQPMSGDS;JJ POS MAS SIN DEF GEN;;
;AQPMSNDS;JJ POS MAS SIN DEF NOM;;
;AQPNSGIS;JJ POS NEU SIN IND GEN;;
;AQPNSN0S;JJ POS NEU SIN IND/DEF NOM;;
;AQPNSNIS;JJ POS NEU SIN IND NOM;;
;AQPU000C;JJ POS UTR - - SMS;;
;AQPUSGIS;JJ POS UTR SIN IND GEN;;
;AQPUSN0S;JJ POS UTR SIN IND/DEF NOM;;
;AQPUSNIS;JJ POS UTR SIN IND NOM;;
;AQS00NDS;JJ SUV UTR/NEU SIN/PLU DEF NOM;;
;AQS00NIS;JJ SUV UTR/NEU SIN/PLU IND NOM;;
;AQS0PNDS;JJ SUV UTR/NEU PLU DEF NOM;;
;AQS0PNIS;JJ SUV UTR/NEU PLU IND NOM;;
;AQSMSGDS;JJ SUV MAS SIN DEF GEN;;
;AQSMSNDS;JJ SUV MAS SIN DEF NOM;;
;CCA;KN AN;;
;CCS;KN;;
;CIS;IE;;
;CSS;SN;;
;D0@00@A;DT AN;;
;D0@0P@S;DT UTR/NEU PLU IND/DEF;;
;D0@NS@S;DT NEU SIN IND/DEF;;
;D0@US@S;DT UTR SIN IND/DEF;;
;DF@0P@S;DT UTR/NEU PLU DEF;;
;DF@0S@S;DT UTR/NEU SIN DEF;;
;DF@MS@S;DT MAS SIN DEF;;
;DF@NS@S;DT NEU SIN DEF;;
;DF@US@S;DT UTR SIN DEF;;
;DH@0P@S;HD UTR/NEU PLU IND;;
;DH@NS@S;HD NEU SIN IND;;
;DH@US@S;HD UTR SIN IND;;
;DI@00@S;DT UTR/NEU SIN/PLU IND;;
;DI@0P@S;DT UTR/NEU PLU IND;;
;DI@0S@S;DT UTR/NEU SIN IND;;
;DI@MS@S;DT MAS SIN IND;;
;DI@NS@S;DT NEU SIN IND;;
;DI@US@S;DT UTR SIN IND;;
;FE;DL MAD;;
;FI;DL MID;;
;FP;DL PAD;;
;FE;MAD;;
;FI;MID;;
;FP;PAD;;
;I;IN;;
;MC0000C;RG SMS;;
;MC00G0S;RG GEN;;
;MC00N0S;RG NOM;;
;MC0SNDS;RG UTR/NEU SIN DEF NOM;;
;MCMSNDS;RG MAS SIN DEF NOM;;
;MCNSNIS;RG NEU SIN IND NOM;;
;MCUSNIS;RG UTR SIN IND NOM;;
